Price,district,Area,Address,Number of bedrooms,Number of bathrooms,New_content,Floor,NumOfConvient,district_encoded
6250000000.0,Gò Vấp,42.0,Đường Số 4,3.0,3.0,"Bán nhà mặt tiền Đường số 4 phường 11 Gò Vấp, 42m2, 4 tầng chỉ 6.25 tỷ MS 31823 Vị trí mặt tiền đường Số 4 phường 11 Gò Vấp. Thuận tiện giao thông, vừa ở vừa kinh doanh. Thiết kế với phong cách hiện đại sử dụng thiết bị thông minh cao cấp smarthome Cửa cuốn, hệ thống chiếu sáng, rèm cửa.... Diện tích 42m2, 4 tầng với 3 phòng ngủ, 3WC. Hình sổ vuông đẹp. Sổ hồng riêng, hoàn công đầy đủ.",4,1,5
5000000000.0,Tân Bình,44.0,Thành phố Hồ Chí Minh,2.0,2.0,"Phạm Văn Hai – HXH 1 xẹc gần Trường Sa, DTSD 88M2, 5 tỷ Phạm Văn Hai HXH 1 xẹc gần Trường Sa, DTSD 88M2, 5 tỷ . Vị trí ngay chợ Phạm Văn Hai nhộn nhịp, gần Q.10, Phú Nhuận. . 44m2, 1 trệt 1 lầu, 2 WC, sổ vuông vức. . Hẻm xe hơi một trục Phạm Văn Hai, thuận tiện đi các hướng. . Sổ riêng pháp lý chuẩn, hoàn công đủ, mua bán trong ngày. LH 0902177052 xem nhà thương lượng chính chủ.",2,1,22
7500000000.0,Gò Vấp,85.0,"Quang Trung, Phường 11, Quận Gò Vấp",2.0,2.0,"HXH QUANG TRUNG - PHƯỜNG 11 - THÔNG TỨ TUNG - 2 LẦU - 85m2 - 7.5 TỶ HXH QUANG TRUNG PHƯỜNG 11 THÔNG TỨ TUNG 2 LẦU 85m2 7.5 TỶ Diện tích 5m x 17m 85m2 x 2 tấm Kết cấu Trệt 2 lầu BTCT chắc chắn có thể lên thêm tầng. Pháp lý chuẩn, sổ vuông vức, công chứng trong ngày. Liên hệ 0979 973 775 Mr. Quang xem nhà",3,0,5
5380000000.0,Bình Tân,80.0,Thành phố Hồ Chí Minh,4.0,4.0,",Bán nhà bình Tân, kế MT Gò xoài, 3 tầng 4x20m, kinh doanh-Bình Tân BÌNH TÂN GẦN MT, HẺM NHỰA 6M, 2 XE HƠI NÉ NHAU KẾ CHỢ GẤP B.Á.N.SIÊU RẺ. Chỉ 5 t.ỷ 38 TL mạnh, Pháp lý chuẩn. Nhà đẹp 3 tầng 4x20m, 4Pn, Wc. Kinh doanh sầm uất. Zalo. 0938059388. Nhà Phố SG. nhaphosaigon,nhadepre,binhtan,tphcm Vị trí đẹp, hẻm kinh doanh, cạnh mặt tiền, gần chợ. gấp bán.",3,2,2
3400000000.0,Tân Phú,57.0,Âu Cơ Phú Trung Tân Phú,3.0,3.0,"Nhà Mới Sát Mặt Tiền Âu Cơ Tân Phú với 57m2 Nhà Mới Sát Mặt Tiền Âu Cơ Tân Phú với 57m2 Kết cấu nhà 1 trệt 1 lầu, 3PN, 3WC, chủ ngăn thành 2 căn để cho thuê 10trtháng. Nhà mới dọn vào ở ngay, có phòng ngủ dưới trệt cho người già, trên lầu để suốt có thể ngăn thêm phòng. Vị trí sát mặt tiền, cách hẻm xe hơi 10m, gần chợ, trường học, Ủy Ban Nhân Dân Phường, tiện ích xung quanh không thiếu gì, giáp Tân Bình, Quận 11. Pháp lý chuẩn, sổ hồng riêng, công chứng ngay. Giá chỉ 3.4 tỷ thương lượng tốt.",2,3,23
3400000000.0,Tân Phú,57.0,Âu Cơ Phú Trung Tân Phú,3.0,3.0,"Nhà Siêu Rẻ Sát Mặt Tiền Âu Cơ Tân Phú Chỉ Nhỉnh 3 tỷ. Nhà Siêu Rẻ Sát Mặt Tiền Âu Cơ Tân Phú Chỉ Nhỉnh 3 tỷ. Nhà 1 trệt 1 lầu, 3PN, 3WC, chủ ngăn thành 2 căn để cho thuê 10trtháng. Nhà mới dọn vào ở ngay, có phòng ngủ dưới trệt cho người già, trên lầu để suốt có thể ngăn thêm phòng. Vị trí sát mặt tiền, cách hẻm xe hơi 10m, gần chợ, trường học, Ủy Ban Nhân Dân Phường, tiện ích xung quanh không thiếu gì, giáp Tân Bình, Quận 11. Pháp lý chuẩn, sổ hồng riêng, công chứng ngay. Giá chỉ 3.4 tỷ thương lượng tốt.",2,3,23
6100000000.0,Tân Bình,82.0,Cống Lỡ P15 Tân Bình,4.0,2.0,"Giá Siêu Tốt Diện Tích Lớn Gần Mặt Tiền Cống Lỡ Tân Bình. Giá Siêu Tốt Diện Tích Lớn Gần Mặt Tiền Cống Lỡ Tân Bình. Diện tích 82m2 4.6 x 18 Vị trí khoảng 100m ra mặt tiền. Hẻm 1 trục thẳng dễ tìm nhà Nhà cửa thoáng mát rộng rãi, phong thủy tốt Kết cấu 2 tầng trệt, lầu 4PN, 2WC. Trong đó, có 1 PN dưới trệt rất tiện cho gia đình có người lớn tuổi sinh hoạt. Hẻm vào ba gác, bên trong rộng 45m thuận tiện quay đầu xe và bán hàng ăn trước cửa nhà. Sổ đẹp vuông vức chính chủ. Cần đi định cư nước ngoài chỉ 6.1 tỷ thương lượng tốt.",2,2,22
6100000000.0,Tân Bình,82.0,Cống Lỡ P.15 Tân Bình,4.0,2.0,"Siêu Hot Nhà Cống Lỡ Tân Bình Sát Mặt Tiền Giá Chỉ 6 tỷ Siêu Hot Nhà Cống Lỡ Tân Bình Sát Mặt Tiền Giá Chỉ 6 tỷ Diện tích 82m2 4.6 x 18 Vị trí khoảng 100m ra mặt tiền. Hẻm 1 trục thẳng dễ tìm nhà Nhà cửa thoáng mát rộng rãi, phong thủy tốt Kết cấu 2 tầng trệt, lầu 4PN, 2WC. Trong đó, có 1 PN dưới trệt rất tiện cho gia đình có người lớn tuổi sinh hoạt. Hẻm vào ba gác, bên trong rộng 45m thuận tiện quay đầu xe và bán hàng ăn trước cửa nhà. Sổ đẹp vuông vức chính chủ. Cần đi định cư nước ngoài chỉ 6.1 tỷ thương lượng tốt.",2,2,22
2400000000.0,Thủ Đức,40.0,Hẻm 87 đường Lê Thị Hoa.Phường Bình Chiểu - TP.Thủ Đức,2.0,2.0,"BÁN GẤP NHÀ 2 TẦNG GIÁ 2.4tỷ - XE HƠI ĐỖ CỬA - PHƯỜNG BÌNH CHIỂU - TP.THỦ ĐỨC ...Cần bán gấp... Căn nhà 1 trệt 1 lầu, Gồm 2 Phòng Ngủ 2 wc, phòng Khách Bếp. Ban công Vị trí.hẻm 87 đường Lê Thị Hoa. Phường Bình Chiểu Thủ Đức Xe hơi đỗ cửa.ngay gần cầu vượt Gò Dưa Trường Cấp 23 Bình Chiểu. 30m ra đường Lê Thị Hoa Diện tích gần 40m2. Ngang 4.8m Sổ hồng hoàn công Giá chỉ 2.4tỷ. Tổng giá giảm chào 1.1tỷ gia chủ mong muốn ra nhanh trong tuần. Giá bao đầu tư lợi nhuận ngay khi tiền. Lhe em Hiếu 247 để chốt gấp.chậm trễ sẽ ko còn cơ hội tốt như vậy nữa đâu",2,0,21
6500000000.0,Bình Tân,68.0,ĐƯỜNG SỐ 20,4.0,5.0,"NHÀ HOT BÌNH TÂN - GÓC 2 MẶT TIỀN - 68M2 NGANG 8M CHỈ NHỈNH 6 TỶ Vị trí gần chợ GÒ XOÀI, đường Liên khu 89 , BÌNH TÂN Diện tích 67.5 M2 8 8.5M Hẻm xe hơi đỗ cửa, khu vực an ninh , dân trí cao, gần mặt tiền ,sầm uất nhộn nhịp. Khu vực nhà 4 tầng với 1 trệt, 3 lầu , sân thượng trước sau với 4 PN,5WC, phòng thờ. Giá bán 6.5 tỷ chủ thiện chí bán thương lượng tốt Liên hệ em TRANG 0898.99.2121 để xem nhà trực tiếp.",4,2,2
2250000000.0,Quận 9,28.0,"Đường Nam Hòa, Phường Phước Long A, Q9",1.0,1.0,"Cần bán gấp nhà 1 trệt 1 lầu hẻm 3 gác, 28m2 3,3x8m, sổ hồng cá nhân, giá chỉ 2 tỷ 250 thương lượng Chủ gửi. Cần bán gấp nhà 1T 1L hẻm ba gác đường Nam Hoà, Phước Long A, Quận 9. DT 28m² sổ CN 23m² 3,3m x 8m. Vị Trí Đắc Địa Full tiện ích, giáp Quận 2, Bình Thạnh cách Đường Nam Hoà 50m, Xa Lộ HN 100m, Ngã Tư Mk 150m, Sổ hồng riêng sang tên ngay. 2 tỷ 250 thương lượng. LH 0388 668 882Đã sao chép gặp Tâm zalo.",2,1,20
4850000000.0,Bình Tân,63.0,HƯƠNG LỘ 2,4.0,3.0,"NHÀ MỚI ĐÓN TẾT HƯƠNG LỘ 2,BÌNH TÂN- 4*16M,3 TẦNG-HẺM 6M THÔNG VỊ TRÍ ĐẸP CHỈ 4TỶX Nhà mới đẹp ở ngay dịp Tết Diện tích4 16m Hẻm xe hơi thông trước nhà thông thoáng , khu vực an ninh , dân trí cao, gần mặt tiền ,sầm uất nhộn nhịp. Nhà thiết kế 1 trệt, 2 lầu với 4 PN . Đặc biệt, có 1 PN ở tầng trệt cho người lớn tuổi, 3 WC có bồn tắm , sân thượng rộng rãi Giá bán 4.85tỷ chủ thiện chí bán thương lượng tốt Liên hệ em TRANG 0898.99.2121 để xem nhà trực tiếp.",3,1,2
5500000000.0,Tân Phú,100.0,"Lũy Bán Bích, Hòa Thạnh Tân Phú",3.0,2.0,"Bán nhà Lũy Bán Bích-ngang 4.3m-sổ nở hậu-100m2 chỉ 5 tỷ hơn Bán nhà Lũy Bán Bíchngang 4.3msổ nở hậu100m2 chỉ 5 tỷ hơn Hiện trạng 2 tầng với PK, 3 PN, 2 WC, bếp. Vị trí hẻm 3 gác Lũy Bán Bích, gần Đầm Sen, UB Quận,.. Sổ vuông, đẹp, nở hậu tài lôc, mua bán nhanh. DT 100m, DTSD 160m2. Giá rẻ 5.5 tỷthương lượng. Cho thuê 10trtháng, giá đầu tư cực tốt mua cho thuê giữ tiền hoặc xây căn hộ dịch vụ.",2,1,23
5500000000.0,Tân Phú,100.0,Lũy Bán Bích Hòa Thạnh Tân Phú,3.0,2.0,"Siêu hot nhà Lũy Bán Bích-ngang 4.3m-sổ nở hậu-100m2 chỉ 5 tỷ hơn Siêu hot nhà Lũy Bán Bíchngang 4.3msổ nở hậu100m2 chỉ 5 tỷ hơn Hiện trạng 2 tầng với PK, 3 PN, 2 WC, bếp. Vị trí hẻm 3 gác Lũy Bán Bích, gần Đầm Sen, UB Quận,.. Sổ vuông, đẹp, nở hậu tài lôc, mua bán nhanh. DT 100m, DTSD 160m2. Giá rẻ 5.5 tỷthương lượng. Cho thuê 10trtháng, giá đầu tư cực tốt mua cho thuê giữ tiền hoặc xây căn hộ dịch vụ.",2,1,23
5900000000.0,Tân Phú,65.0,"Tân Quý, Tân Phú",3.0,4.0,"Nhà 3 tầng 5x13m, ô tô đỗ cửa, gần mặt tiền Tân Quý, 5.9 tỷ Nhà xây 1 trệt 2 lầu, phòng khách, nhà bếp, 3 phòng ngủ chính, 4 vệ sinh. Nhà ngang 5m, dài hơn 12m nên rộng rãi, gia đình xây kiên cố chắc chắn, còn mới đẹp. Vị trí gần AEON Tân Phú, dịch vụ tiện ích xung quanh đầy đủ. Pháp lý chuẩn, sổ hồng chính chủ. Khu dân trí cao, an ninh, yên tĩnh, camera an ninh dọc khu phố. Xem nhà liên hệ anh Võ 0909 100 817. Không tiếp trung gian.",3,1,23
6180000000.0,Bình Tân,72.0,Thành phố Hồ Chí Minh,6.0,5.0,"Bán nhà mới đẹp-ô tô đậu nhà-Gần mt Gò xoài-Bình Hưng Hoà A-Bình Tân GIẢM 800TR. NHỈNH 6 T.Ỷ XÍU TL MẠNH. BINH TÂN, GẦN CHỢ, MT GÒ XOÀI 10M Ô TÔ THÔNG NHÀ MỚI ĐẸP Ở LIỀN TIÊN ÍCH BAO QUANH. Nhà 4x17m, 1 trệt 3 lầu, ST trước sau, 5P. ngủ, 6 wc, P.Khách, bếp, P. thờ, sân để xe dưới trệt. zalo. 0938059388. Nhà Phố SG. nhaphosaigon,nhadep,rẻ,binhtan,tanphu,tphcm. Vị trí Toạ lạc ngay Tân Kỳ Tân Quý Gò Xoài, thông Lê văn quới, kết nối Tân phú, khu vip Aeon rất gần. Pháp lý đầy đủ, sổ tại gia, công chứng ngay.",4,1,2
10900000000.0,Gò Vấp,101.0,"DƯƠNG QUẢNG HÀM, PHƯỜNG 5, GÒ VẤP , HCM",2.0,2.0,"GẤP BÁN GIẢM SÂU-CHÍNH CHỦ MỘT ĐỜI - 101M2 MT DƯƠNG QUẢNG HÀM-K.LỘ GIỚI-XD VÔ TƯ CHỦ GẤP BÁN GIẢM NGAY 3TỶ CHỈ CÒN 10.9TỶ Địa chỉ hẻm nhưng là mặt tiền. Nhà cũ, xác định bán đất. Không lộ giới, không quy hoạch, kinh doanh hoặc ở đỉnh. Vị trí đẹp miễn chê, ngay góc công viên Dương Quảng Hàm. Nhà 1 đời chủ xưa nay chưa mua bán. Sổ đẹp, vuông vức, ngân hàng đang giữ dùm. Công chứng ngay.",1,1,5
5200000000.0,Gò Vấp,57.0,Lê Văn Thọ,3.0,2.0,"Bán nhà gần mặt tiền Lê Văn Thọ Phường 9 Gò Vấp 57m2 2 tầng chỉ 5.2 tỷ MS 32523 Diện tích 57m2, ngang 4.5m, dài 12.6m. Kết cấu BTCT, 1 trệt, 1 lầu, 3 phòng ngủ, 2 WC. Hẻm 3m một trục, thông ra công viên Làng Hoa. Vị trí gần mặt tiền đường Lê Văn Thọ, khu vực dân cư đông đúc, đầy đủ dịch vụ tiện ích chợ, trường, hàng quán, v.v. Hình sổ vuông vức, xây dựng full diện tích, hoàn công đủ.",2,2,5
4800000000.0,Tân Phú,40.0,"Tây Thạnh, P.Tây Thạnh, Tân Phú",2.0,3.0,"Nhà 4 tầng, chỗ đậu ô tô, đối diện Sacombank Tây Thạnh, 3.8 tỷ Nha kết cấu 1 trệt 2 lầu, sân thượng. Gồm 2 phòng ngủ rộng, 3 vệ sinh, ban cong thoáng mát. Chỗ đậu xe hơi gần nhà. Vị trí tiện đi lại các hướng. Ra Trường Chinh gần, về trung tâm thuận tiện. Nhà gần trường PTTH Tây Thạnh, đối diện NH Sacombank. Khu vực an ninh, dân trí. Tiện ích xung quanh đầy đủ. So hong chính chủ lâu đời. Liên hệ anh Võ 0909 100 817. Không tiếp trung gian.",3,0,23
5900000000.0,Quận 3,65.0,Thành phố Hồ Chí Minh,3.0,4.0,"Biệt thự mini QUẬN 3 - 65 M2 – Nội thất Gỗ cao cấp – Chưa tới 100TR/m2 Mô tả Nhà gia chủ xây tâm huyết, vào ở liền, gồm 1 triệt, 1 lửng, lầu, sân thượng, 3PN rộng lớn, 3 WC, công năng đầy đủ. Nội thất xịn sò toàn gỗ gụ, căm xe Tủ bếp, cửa, tủ rượu, cầu thang, gia chủ tặng toàn bộ nội thất nếu khách thiện chí. Hẻm ba gác, cách hẻm xe hơi tránh tầm 30m, cách đường Hoàng Sa tầm 80m, Khu an ninh tốt, toàn cán bộ, trí thức. Pháp lý SHR, công chứng trong ngày. Thiện chí alo em Hiền xem nhà trực tiếp, miễn trung gian.",1,1,14
2800000000.0,Tân Bình,28.0,Thành phố Hồ Chí Minh,2.0,2.0,"Hẻm Xe Tải 5m Thông Phan Huy Ích, Tiện Kinh Doanh Đa Ngành, Chỉ Hơn 2 Tỷ Hẻm Xe Tải 5m Thông Phan Huy Ích, Tiện Kinh Doanh Đa Ngành, Chỉ Hơn 2 Tỷ Kết cấu 1 trệt 2 lầu Đúc BTCT, 2PN, 2WC, phòng khácH. Hẻm xe tải thông, vài bước là mặt tiền Phan Huy Ích, P.15, Tân Bình. Sổ hồng riêng, vuông vức, pháp lý chuẩn. LH 0902177052 xem nhà thương lượng chính chủ.",3,1,22
1600000000.0,Hóc Môn,30.0,TRUNG CHÁNH ,1.0,1.0,"1,5 TỶ KHÓ MUA ĐƯỢC NHÀ SỔ HỒNG HOCMON DT 30m2 NGANG 5m DÀI 6m. THÊM 18m2 ĐẤT PHÍA SAU PK 1PN 1WC Hẽm 4m TRUNG CHÁNH HOCMON SỔ HỒNG HOÀN CÔNG GAN NGÃ TƯ TRUNG CHÁNH HOCMON 1,6 tỷ .Còn Thương lượng Lh 0934 87 47 23 A HIẾU ZALO G9.E Q Triều NHẬN KỶ GỬI BĐS",1,0,6
4800000000.0,Quận 12,110.0,HIỆP THÀNH ,3.0,3.0,"SÁT HIỆP THÀNH CITY - 2 TẦNG NGANG 5.5m - 107m2 - ĐƯỜNG XE HƠI - GIẢM 400TR CÒN 4,8 TỶ - KO ẢO NHA 5,518,5 2 TẦNG 1 trệt 1 lầu PK 3PN 3WC SÂN ĐẬU XE HƠI Hẽm oto cách NGUYỆN THỊ BÚP HƠN 100m,tiện ích xung quanh đầy đủ SỔ HỒNG,PHÁP LÝ CHUẨN HIỆP THÀNH Q12 4,8 tỷ .Còn Thương lượng Lh 0934 87 47 23 A HIẾU ZALO B5.22.22.1E Duẫn NHẬN KỶ GỬI BĐS",2,0,12
3700000000.0,Quận 9,75.0,"Đỗ Xuân Hợp , Phước Long B, Tp. Thủ Đức",3.0,2.0,"Chủ ngộp bank mong bán gấp căn nhà sát MT Đỗ Xuân Hợp , 75m2 , 2 tầng , 3PN Chủ ngộp bank mong bán gấp căn nhà sát MT Đỗ Xuân Hợp , 75m2 , 2 tầng , 3PN Diện tích 4,5 x 17 m , 2 tầng 3 PN , 2 WC Nhà xây còn mới , ốp gạch sạch sẽ, cửa kình full, sân rộng để xe chỉ 2 căn ra mặt tiền Đỗ Xuân Hợp Tiện ích khu TT Phước Bình , Global city , Gia Hòa , Khang Điền Sổ hồng riêng , hoàn công đầy đủ Giá 3,7 tỷ còn thương lượng",2,1,20
3500000000.0,Bình Tân,50.0,"Lê Đình Cẩn, Tân Tạo, Bình Tân",2.0,2.0,"NHÀ 2 TẦNG BÌNH TÂN LÊ ĐÌNH CẨN HẺM Ô TÔ 3,5 TỶ 50m2 TL 0948362610 NHÀ 2 TẦNG BÌNH TÂN LÊ ĐÌNH CẨN HẺM Ô TÔ 3,5 TỶ 50m2 TL 0948362610 _ Đường ô tô vào nhà, nhà chính chủ vào ở ngay. _ Vị trí sát hẻm 8m Lê Đình Cẩn, Tân Tạo, Bình Tân. _ Diện tích chuẩn 50m2 4x12m 1 trệt 1 lầu 2PN, 2WC. _ Bước chân ra ngay Chợ Lê Đình Cẩn, Tỉnh Lộ 10, giáp KDC Tên Lửa,... _ 5 phút di chuyển Aeon Mal Tên Lửa, Bệnh viện Quốc Tế Gia An,... _ Sổ vuông A4, công chứng mua bán ngay. _ Lh Hoa để biết thêm chi tiết nhà đẹp ở ngay 0948362610",2,2,2
5490000000.0,Tân Bình,30.0,Thành phố Hồ Chí Minh,2.0,2.0,"Mặt tiền Nguyễn Phúc Chu, đường nhựa, vỉa hè 4m, hơn 5 tỷ Mặt tiền Nguyễn Phúc Chu, đường nhựa, vỉa hè 4m, hơn 5 tỷ . Vị trí đẹp, mặt tiền nhựa Tân Bình, kinh doanh đa nghành nghề, gần Phạm Văn Bạch, Hoàng Bật Đạt. . Kết cấu 1 trệt 1 lầu, 2 phòng ngủ, vỉa hè rộng 4m. . Pháp lý chuẩn, sổ vuông A4, hoàn công đủ. Liên hệ xem nhà 0902177052, thương lượng chính chủ.",2,1,22
4200000000.0,Tân Bình,39.0,"Ni Sư Huỳnh Liên, P.10, Tân Bình",3.0,3.0,"Nhà 3 tầng có chỗ đậu ô tô, Ni Sư Huỳnh Liên, 4.2 tỷ Nhà kết cấu trệt 1 lửng 1 lầu, có 3 phòng ngủ, phòng khách, bếp, 3 vệ sinh. Hẻm trước nhà 4m, thông đường Lạc Long Quân, Âu Cơ. Nhà gần Chợ, Siêu Thị Bàu Cát, qua khu Bàu Cát gần. Sổ hồng riêng, chính chủ lâu năm. Liên hệ anh Võ 0909 100 817. Không tiếp trung gian.",2,3,22
